Designator,Mid X,Mid Y,Rotation,Layer
BAT1,172.515,-98.782,0.0,top
CH10,119.265,-53.11425,0.0,top
CH11,137.265,-57.36425,0.0,top
CH12,155.265,-57.36425,0.0,top
CH13,62.187189,-87.582635,8.0,top
CH14,80.012014,-85.077519,8.0,top
CH15,99.374871,-75.775379,4.0,top
CH16,119.265,-70.11425,0.0,top
CH17,137.265,-74.36425,0.0,top
CH18,155.265,-74.36425,0.0,top
CH19,64.553131,-104.417192,8.0,top
CH20,82.377957,-101.912076,8.0,top
CH21,100.638269,-92.775379,4.0,top
CH22,119.265,-87.11425,0.0,top
CH23,137.265,-91.36425,0.0,top
CH24,155.265,-91.36425,0.0,top
CH25,114.79482,-110.91756,5.0,top
CH28,135.06561,-110.149708,0.0,top
CH29,156.249738,-111.777769,350.0,top
CH30,177.34451,-118.322339,335.0,top
CH7,59.821246,-70.748077,8.0,top
CH8,77.646071,-68.242962,8.0,top
CH9,98.611015,-58.775379,4.0,top
D10,128.265,-62.797,90.0,top
D11,146.265,-62.982,90.0,top
D12,164.265,-62.967,90.0,top
D13,72.030256,-91.972722,98.0,top
D14,91.069533,-84.769113,98.0,top
D15,110.265,-78.982,90.0,top
D16,128.515,-79.797,90.0,top
D17,139.265,-82.982,180.0,top
D18,164.265,-79.967,90.0,top
D19,74.630705,-110.47588,98.0,top
D20,92.394294,-107.535047,98.0,top
D21,101.265,-100.982,180.0,top
D22,119.074998,-94.982,180.0,top
D23,137.264998,-99.982,180.0,top
D24,155.264999,-98.982,180.0,top
D25,116.29834,-118.948659,185.0,top
D28,133.455,-117.982,180.0,top
D29,155.328381,-120.045383,170.0,top
D30,182.82343,-127.503571,65.0,top
D7,69.837584,-76.371048,98.0,top
D8,87.427902,-72.197331,98.0,top
D9,110.265,-61.982,90.0,top
DISPLAY1,179.106497,-90.202501,0.0,top
SW_PW_FG1,188.065,-97.782,270.0,top
SW_RST1,184.465,-105.382,180.0,top
